City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Comodoro Rivadavia,AR,71.6,clear sky,-45.87,-67.5,Austral Hotel
193,Makaha,US,73.0,scattered clouds,21.47,-158.22,Hawaiian Princess Resort
195,Santarem,BR,80.6,light rain,-2.44,-54.71,Hotel Imperador
196,Ho Chi Minh City,VN,80.6,scattered clouds,10.75,106.67,New World Saigon Hotel
199,Itaituba,BR,77.0,moderate rain,-4.28,-55.98,Hotel Campos
204,Vao,NC,79.09,few clouds,-22.67,167.48,Hotel Kou-Bugny
209,Santa Maria,BR,80.6,clear sky,-29.68,-53.81,Hotel Morotin
212,Morant Bay,JM,84.2,broken clouds,17.88,-76.41,Whispering Bamboo Cove Resort
214,Sao Jose Da Coroa Grande,BR,84.81,clear sky,-8.9,-35.15,Crôa Mares Hotel
215,Sao Francisco Do Sul,BR,75.99,scattered clouds,-26.24,-48.64,Hotel Kontiki
216,Cidreira,BR,76.51,clear sky,-30.18,-50.21,Hotel Castelo
217,Dingle,PH,75.74,moderate rain,11.0,122.67,SEGAYA PROPERTY
220,Tarakan,ID,81.75,broken clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
222,La Romana,DO,80.6,few clouds,18.43,-68.97,Casa de Campo Resort and Villas
223,The Valley,AI,82.4,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
225,Banjar,ID,78.8,broken clouds,-8.19,114.97,The Hamsa Resort
228,Nanakuli,US,73.0,overcast clouds,21.39,-158.15,Camp Pālehua
229,Santa Isabel Do Rio Negro,BR,76.12,overcast clouds,-0.41,-65.02,Hotel GSA
231,Saint-Leu,RE,78.8,clear sky,-21.15,55.28,La Caz Oceane
233,Bontang,ID,79.9,broken clouds,0.13,117.5,Okra Leaf Guest House Syariah
240,Port-Gentil,GA,86.0,light rain,-0.72,8.78,Fengshui Residence
242,Adwa,ET,71.01,clear sky,14.16,38.9,Maay Assa Hotel
244,New Amsterdam,GY,74.37,light rain,6.25,-57.52,Little Rock Suites
248,Harper,LR,83.07,light rain,4.38,-7.72,Screensaver
251,Jacareacanga,BR,78.78,moderate rain,-6.22,-57.75,Casa do Ian😎
252,Ahuimanu,US,75.2,scattered clouds,21.44,-157.84,Paradise Bay Resort
253,Sao Filipe,CV,76.51,clear sky,14.9,-24.5,Tortuga B&B
255,Ternate,ID,81.55,light rain,0.8,127.4,Grand Dafam Bela Ternate
256,Tahta,EG,71.6,clear sky,26.77,31.5,ماستر تك
260,Singaparna,ID,73.8,overcast clouds,-7.35,108.11,D'yusril house
264,Esmeraldas,BR,78.8,moderate rain,-19.76,-44.31,Bom Será - Marcinho e Fernanda
266,Briceno,CO,74.46,few clouds,7.11,-75.55,Hotel HORIZONTES
268,Kahului,US,71.6,light rain,20.89,-156.47,Maui Seaside Hotel
273,Coromandel,BR,77.65,clear sky,-18.47,-47.2,Hotel Dona Adélia
281,Buala,SB,80.26,light rain,-8.14,159.59,Maringe Lagoon Lodge
283,Gouyave,GD,84.2,few clouds,12.16,-61.73,Rumboat Retreat
285,Durban,ZA,75.0,few clouds,-29.86,31.03,Hilton Durban
289,Pedernales,DO,80.6,few clouds,18.04,-71.74,Hotel Costa Marina
